Index	Name_Teigtasche	Name_Landesprache	Landesindex	Zubereitungsart	Beschaffenheit	Verspeisungsart	Besonderes	Info	Link	Description
42	Taro Dumpling	芋頭角	31	fitiert	Taro basierte divers gefüllter Dumpling	Pur_ mit Dipp	na	Chinesicher Taro Teigteilchen	https://vocabularyoffood.com/taro-dumpling/	Taro Dumpling sind chinesische Teigtaschen_ die mit einer Füllung aus Taro_ einem stärkehaltigen Wurzelgemüse_ und oft mit Fleisch oder Garnelen gefüllt sind. Der Teig besteht meist aus einer Mischung von Reismehl und anderen Zutaten_ was ihm eine weiche und leicht klebrige Textur verleiht. Diese Dumplings werden meistens frittiert_ wodurch sie außen knusprig und innen weich und aromatisch werden. Taro Dumplings sind ein beliebter Snack oder Teil eines Dim-Sum-Menüs_ bekannt für ihren einzigartigen Geschmack und die köstliche Kombination von Füllung und Teig.
43	Empanada	empanadas	33	fritiert	Empanadas mit Hackfleischfüllung	Pur	na	Empanadas aus costa rica	https://puravidamoms.com/picadillo-empanada-recipe/	Empanada aus Costa Rica sind köstliche Teigtaschen_ die mit einer Füllung aus gewürztem Fleisch_ Bohnen_ Kartoffeln oder Käse gefüllt sind. Der Teig wird zu kleinen Taschen geformt und entweder frittiert oder gebacken_ bis sie goldbraun und knusprig sind. Diese Empanadas sind in Costa Rica ein beliebter Snack oder ein leichtes Hauptgericht_ und werden oft mit einer frischen Salsa oder einer scharfen Sauce serviert_ um den Geschmack zu verstärken.
44	Maniok-Klöße	Boulettes de Manioc	34	fritiert	mit Käse gefüllt	Pur_Chilisauce oder Aioli	Käsefüllung	Gefülltes Teiggericht der Elfenbeinküste	https://jecuisinedoncjesuis.com/boulettes-de-manioc-farcies-au-fromage/	Boulettes de Manioc sind herzhafte Bällchen aus Maniok_ die oft mit einer Mischung aus Gewürzen_ Zwiebeln und manchmal auch Fleisch oder Gemüse gefüllt sind. Der Maniok wird gekocht_ zu einem Teig verarbeitet und dann zu kleinen Bällchen geformt_ die frittiert werden_ bis sie goldbraun und knusprig sind. Diese Köstlichkeiten sind in West- und Zentralafrika sehr beliebt_ besonders als Snack oder Beilage. Boulettes de Manioc sind bekannt für ihre knusprige Außenschicht und ihre weiche_ aromatische Füllung.
45	Apfelscheiben	Æbleskiver	35	gebraten 	mit Apfelfüllung	Pur_Puderzucker	Süßes Gebäck	Wird zu Weihnachten gegessen	https://herzelieb.de/aebleskiver-foertchen-weihnachten-silvester-rezept-daenemark/	Æbleskiver sind dänische Pfannkuchenbällchen_ die traditionell aus einem süßen Teig hergestellt werden und in speziellen runden Pfannen gebacken werden. Sie haben eine weiche und flauschige Textur_ und sind oft mit Apfelstücken oder Marmelade gefüllt_ was ihnen ihren Namen verleiht. Æbleskiver werden typischerweise mit Puderzucker bestäubt und mit Marmelade oder Sirup serviert. Sie sind besonders während der Weihnachtszeit in Dänemark beliebt_ und werden oft als Snack oder Frühstück genossen.
46	Wienerbröd	Wienerbrød	35	gebacken	mit Marzipanfüllung	Pur_Glasur	Süßes Gebäck	Zu Kaffe und Kuchen	https://wienerbroed.com/rezepte/backen/wienerbroed	Wienerbröd ist ein klassisches dänisches Gebäck_ das für seine zarte_ blättrige Textur bekannt ist. Es wird aus einem Schichten-Teig hergestellt_ ähnlich dem für Croissants_ und enthält oft Füllungen wie Marzipan_ Vanillecreme oder Marmelade. Wienerbröd wird meist gebacken_ bis es goldbraun und knusprig ist_ und wird oft mit einer Glasur oder Puderzucker verfeinert. Dieses Gebäck ist besonders in Dänemark und anderen skandinavischen Ländern beliebt_ und wird häufig als Frühstück oder süßer Snack genossen.
47	Maultaschen	Maultaschen	36	gekocht / gebraten	Nudelteig mit Fleisch und eingeweichten Brötchen gefüllt	Pur_ in Suppe_ Bratgericht	na	Deutsche Teigtasche	https://www.kochbar.de/rezept/377615/Maultaschen-schwaebische.html	Maultaschen sind traditionelle schwäbische Teigtaschen_ die mit einer Mischung aus Hackfleisch_ Spinat_ Zwiebeln und Gewürzen gefüllt sind. Der Teig wird in rechteckige Formen geschnitten und die Füllung darin eingewickelt_ bevor sie gekocht oder manchmal auch angebraten werden. Maultaschen sind besonders in Deutschland beliebt_ und werden oft mit Brühe serviert oder als gebratene Variante mit Zwiebeln und Speck genossen. Sie sind für ihren herzhaften Geschmack und ihre vielseitige Zubereitung bekannt.
48	G'fillte Knepp	gefüllte Klöße aus der Pfalz	36	gekocht	gefüllter Kartoffelteig	Pur_ Beilage	na	Deutsche Beilage	https://www.das-pfalz-magazin.de/ausgesuchte-rezepte/pfaelzische-kueche/gefuellte-kloesse-gfillte-knepp/?L=0	G'fillte Knepp sind traditionelle schwäbische Teigtaschen_ die mit einer herzhaften Füllung aus Fleisch_ meist Rind oder Schwein_ gefüllt sind. Der Teig besteht oft aus Semmelbröseln oder Kartoffeln und wird zu kleinen Bällchen geformt_ die dann in Brühe gegart werden. G'fillte Knepp sind besonders in der Region Schwaben bekannt_ wo sie oft als Teil eines Festmahls oder als herzhafter Snack serviert werden. Sie zeichnen sich durch ihre saftige Füllung und die zarte_ aromatische Textur aus.
49	Thüringer Klöße	Thüringer Klöße	36	gekocht	gefüllter Kloß	Pur_ Beilage	mit Brot gefüllt	Deutsche BEilage aus Thüringen	https://eat.de/rezept/thueringer-kloesse/	Thüringer Klöße sind traditionelle deutsche Kartoffelklöße aus der Region Thüringen_ die aus einer Mischung von rohen und gekochten Kartoffeln hergestellt werden. Der Teig wird zu runden Klößen geformt und in Salzwasser gekocht_ bis sie weich und zart sind. Oft werden sie mit einer Füllung aus gewürztem Brot oder Fleisch versehen_ was ihnen zusätzlichen Geschmack verleiht. Thüringer Klöße sind besonders bekannt für ihre feine Textur und werden häufig zu Fleischgerichten wie Sauerbraten oder Schweinebraten serviert.
50	Pastelitos	Pastelitos	38	fritiert	gefüllte Teigtasche	Pur	na	Teigtasche aus der Dominikanischen Republik	https://www.cuisimonde.com/laender-und-regionalkuechen/nord-mittelamerika-und-karibik/dominikanische-republik/pastelitos-gef-uuml-llte-teigtaschen.html	Pastelitos sind köstliche_ gefüllte Teigtaschen_ die in vielen lateinamerikanischen Ländern beliebt sind. Sie bestehen aus einem dünnen Teig_ der mit einer Vielzahl von Füllungen gefüllt werden kann_ wie zum Beispiel Hackfleisch_ Käse_ Hähnchen oder sogar süßen Zutaten wie Marmelade oder Obst. Die Teigtaschen werden dann frittiert_ bis sie goldbraun und knusprig sind. Pastelitos sind besonders bekannt für ihre Vielseitigkeit_ und werden oft als Snack_ Appetizer oder Dessert serviert.
51	Sambusa mit Lamm	Sambusa	39	fritiert	mit Lamm gefüllte Samosa	Pur_ mit Dipp	na	Dschibuti Samosa	https://www.nationalgerichtrezepte.de/nationalgericht-dschibuti-sambusa-mit-lamm-rezept/	Lamm Sambusa aus Dschibuti sind knusprige Teigtaschen_ die mit einer würzigen Füllung aus zartem Lammfleisch_ Zwiebeln und einer Vielzahl von Gewürzen wie Kreuzkümmel_ Koriander und Zimt gefüllt sind. Der Teig wird zu kleinen Dreiecken geformt und dann frittiert_ bis sie goldbraun und knusprig sind. Diese Sambusas sind ein beliebter Snack oder Appetizer in Dschibuti und anderen Teilen des Horns von Afrika_ und werden oft mit scharfen Saucen oder Joghurt serviert_ um den Geschmack zu verstärken.
52	Empanadas de morocho	Empanadas de morocho	40	fritiert	Empanadas mit Tiag aus weißem Mais	Pur_ mit Dipp	weißer Mais	Empanadas aus Ecuador	https://chili-und-ciabatta.de/2023/04/empanadas-de-morocho-aus-ecuador/	Empanadas de Morocho sind traditionelle Teigtaschen aus Ecuador_ die mit einer Füllung aus Morocho_ einem speziellen Maiskorn_ sowie Käse und manchmal auch Fleisch oder Gemüse gefüllt sind. Der Teig wird zu kleinen Taschen geformt und dann frittiert oder gebacken_ bis sie goldbraun und knusprig sind. Diese Empanadas sind für ihren süßen und herzhaften Geschmack bekannt_ und werden häufig als Snack oder leichtes Hauptgericht in Ecuador serviert. Sie sind eine perfekte Kombination aus der Süße des Maises und der würzigen Füllung.
53	Pupusas	Pupusas	41	gebraten 	gefüllter Tortilla-Teig	Pur_ mit Dipp	na	Teigtaschen aus El Salvador	https://www.chefkoch.de/rezepte/19171004954239/Pupusas.html	Pupusas sind traditionelle salvadorianische Teigtaschen_ die aus einem dicken Maisteig hergestellt und mit einer Vielzahl von Füllungen wie Käse_ Bohnen_ Fleisch oder Gemüse gefüllt sind. Der Teig wird zu flachen runden Formen geformt und dann auf einer heißen Platte oder in einer Pfanne gegrillt_ bis sie außen leicht knusprig und innen weich sind. Pupusas werden oft mit einer frischen Kohlensalsa_ namens Curtido_ serviert und sind ein beliebtes Gericht in El Salvador_ das als Snack oder Hauptgericht genossen wird.
54	Samosas Eretrea	ሳምቡሳ	42	fritiert	mti Fleischfüllung	Pur	na	Samosas aus Eretrea	https://shabait.com/2023/04/15/sambuusa-a-popular-snack-during-ramadan/	Samosas aus Eritrea sind knusprige Teigtaschen_ die mit einer würzigen Füllung aus Hackfleisch_ Zwiebeln_ Koriander und einer Vielzahl von Gewürzen gefüllt sind. Der Teig wird zu Dreiecken oder Ecken geformt und dann frittiert_ bis sie goldbraun und knusprig sind. Diese Samosas sind ein beliebter Snack oder Appetizer in Eritrea und anderen Teilen des Horns von Afrika_ und werden oft mit einer scharfen Sauce oder einem Joghurt-Dip serviert_ um den Geschmack zu verstärken. Sie sind für ihre Kombination aus herzhaftem Geschmack und knuspriger Textur bekannt.
55	Pirukad	Pirukad	43	gebacken	Hefeteig mit Fleisch und Sauerkraut gefüllt	Pur_ mit Dipp	mit Sauerkraut	Estnische Teigtasche	https://bistroglobal.de/pirukad-estnische-fleischtaschen/	Pirukad sind traditionelle estnische Teigtaschen_ die mit einer Vielzahl von Füllungen gefüllt sein können_ wie zum Beispiel Fleisch_ Kartoffeln oder Pilze. Der Teig wird zu kleinen Taschen geformt und dann entweder gebacken oder in Butter gebraten_ bis sie goldbraun und knusprig sind. Pirukad sind ein beliebter Snack oder ein leichtes Gericht in Estland_ das oft zu Suppen oder als Beilage serviert wird. Sie sind für ihre herzhafte Füllung und die zarte_ knusprige Textur bekannt.
56	Fijian steamed dumplings	Fijian steamed dumplings	44	dampfgegart	mit Fleischfüllung	Pur_Chilisauce	na	Spezialität aus Fiji	https://www.creatable.de/rezept/fijian-steamed-dumplings/	Fijian Steamed Dumplings sind traditionelle Teigtaschen aus Fidschi_ die mit einer Füllung aus gewürztem Fleisch_ Fisch oder Gemüse gefüllt sind. Der Teig wird zu kleinen Bällchen oder Taschen geformt und dann gedämpft_ wodurch sie zart und weich werden. Diese gedämpften Dumplings sind ein beliebtes Gericht in Fidschi und werden oft mit einer würzigen Sauce oder Dip serviert_ um den Geschmack zu verstärken. Sie sind bekannt für ihre saftige Füllung und die weiche_ angenehme Textur.
57	Karelische Piroggen	Karjalan pierogies	45	gebacken	Roggenmehlhülle gefüllt mit Gerstenbrei oder Milchreis	mit Eibutter oder belegt wie ein Brot	na	Finnische Version der Pirogge	https://www.leckerschmecker.me/karelische-piroggen-a-c/63743511452791	Karelische Piroggen sind traditionelle Teigtaschen aus der Karelischen Region_ die mit einer Füllung aus Reisbrei oder Kartoffeln und Reis gefüllt sind. Der Teig ist dünn und wird zu kleinen ovalen Formen geformt_ bevor die Piroggen im Ofen gebacken werden. Oft werden sie mit einer Butter-Ei-Mischung bestrichen_ um zusätzlichen Geschmack zu verleihen. Karelische Piroggen sind besonders in Finnland und Russland beliebt_ und werden häufig als Snack oder Beilage zu Suppe oder Eintöpfen serviert. Sie zeichnen sich durch ihre weiche_ aber leicht knusprige Textur aus.
58	Kalakukko	Kalakukko	45	gebacken	mit Fisch und Speck gefülltes Brot	Pur	gefülltes Brot	Finische Teigtasche 	https://eatsmarter.de/rezepte/kalakukko	Kalakukko ist ein traditionelles finnisches Gericht_ das aus einem dicken Teig besteht_ der mit einer Mischung aus Fisch_ meist Zander oder Lachs_ sowie Speck oder Schweinefleisch gefüllt ist. Der Teig wird zu einem Laib geformt und dann im Ofen gebacken_ bis er goldbraun und durchgegart ist. Kalakukko ist besonders in der Region Savonia in Finnland beliebt_ und wird oft als herzhaftes Mittagessen oder Snack serviert. Das Gericht ist bekannt für seine rustikale Textur und die perfekte Kombination aus Fisch und Fleisch im Inneren.
59	Lihapiirakka	Lihapiirakka	45	fritiert	mit Reis und Fleisch gefüllt	Pur_ mit Dipp	na	Finnische Fastfood	https://rickrodgers.com/the-famous-french-onion-soup-dumplings/	Lihapiirakka ist ein traditionelles finnisches Gericht_ das aus einem herzhaften Teig besteht_ der mit einer Füllung aus gewürztem Hackfleisch_ Reis und Zwiebeln gefüllt ist. Der Teig wird zu kleinen Taschen geformt und dann frittiert_ bis sie goldbraun und knusprig sind. Lihapiirakka sind besonders in Finnland beliebt_ und werden oft als Snack oder schnelles Mittagessen serviert. Sie sind für ihre saftige Füllung und die knusprige Außenschicht bekannt und können mit Senf oder anderen Saucen genossen werden.
60	Tourtons	Tourtons	46	gebraten / fritiert	mit Käse	Pur	na	Französische vegetarisch Teigtasche	https://www.marmiton.org/recettes/recette_tourtons-des-alpes-ou-de-champsaur_27676.aspx	Tourtons sind traditionelle Teigtaschen aus der französischen Region Alpes-Maritimes_ die mit einer Füllung aus Kartoffeln_ Käse und oft auch mit Kräutern oder Fleisch gefüllt sind. Der Teig wird zu kleinen Taschen geformt und dann frittiert_ bis sie außen knusprig und goldbraun sind. Tourtons sind besonders als Snack oder Appetizer beliebt und werden in Südfrankreich häufig während der Wintermonate oder bei festlichen Anlässen serviert. Sie zeichnen sich durch ihre zarte_ aber knusprige Textur und die herzhafte Füllung aus.
61	Aumônière	Aumônière	46	fritiert	mit Vanillezucker	Pur	Süßes Gebäck	Französische süße Teigtaschen	https://www.ptitchef.com/recettes/dessert/aumoniere-aux-pommes-caramelisees-fid-719338	Aumônière ist ein französisches Gericht_ bei dem der Teig oder das Blattgemüse zu einer kleinen Tasche oder "Mütze" gefaltet wird. Diese "Tasche" wird dann mit einer Vielzahl von Füllungen wie Käse_ Gemüse oder Fleisch gefüllt und oft leicht gebacken oder gebraten_ um eine knusprige Außenschicht zu erhalten. Der Name "Aumônière" stammt von der Form_ die an eine kleine Spendentasche erinnert. Aumônières sind in der französischen Küche ein elegantes Gericht_ das oft als Vorspeise oder Hauptgericht serviert wird und für seine kreative Präsentation und den ausgewogenen Geschmack bekannt ist.
62	Fish Pies	Fish Pies	48	gebacken	mit Thunfisch gefüllte Teigtaschen	Pur_ mit Dipp	na	Thunfischteigtasche aus Gambia	https://www.alnatura.de/de-de/rezepte/suche/fish-pies-gambische-thunfisch-teigtaschen-103656/	Fish Pies aus Gambia sind köstliche Teigtaschen_ die mit einer würzigen Füllung aus frischem Fisch_ Zwiebeln und Gewürzen gefüllt sind. Der Teig wird zu kleinen Taschen geformt und dann gebacken_ bis sie goldbraun und knusprig sind. Diese Fish Pies sind besonders in Gambia und anderen westafrikanischen Ländern beliebt_ und werden oft als Snack oder leichtes Hauptgericht serviert. Sie zeichnen sich durch ihren zarten Fischgeschmack und die knusprige Textur aus und sind ein beliebtes Streetfood.
63	Khinkali	ხინკალი	49	gekocht	verchiedenst gefüllter Suppendumpling	Pur mit Pfeffer	Essart ist besonders	Traditionell Georgische Teigtasche	https://www.essen-und-trinken.de/rezepte/khinkali-rezept-fuer-georgische-teigtaschen-13511970.html	Khinkali sind traditionelle georgische Teigtaschen_ die mit einer saftigen Füllung aus gewürztem Hackfleisch_ meistens Rind oder Schwein_ und Gewürzen wie Pfeffer und Koriander gefüllt sind. Der Teig wird zu großen Taschen geformt und dann in kochendem Wasser gekocht_ bis sie weich und zart sind. Khinkali sind besonders in Georgien sehr beliebt_ und werden oft mit den Händen gegessen_ wobei man den "Zipfel" des Teiges hält. Die Füllung enthält oft eine kleine Menge Brühe_ die beim Beißen ausläuft_ was den Geschmack intensiviert. Sie sind bekannt für ihre herzhafte Füllung und die einzigartige Zubereitung.
64	Lobiani	ლობიანი	49	gebacken	mit Bohnenpaste gefülltes Brot	Pur	na	Traditionelles gefülltes Brot	https://geoweinhaus.de/Lobiani	Lobiani ist ein traditionelles georgisches Gebäck_ das aus einem Teig besteht_ der mit einer würzigen Füllung aus roten Bohnen und Gewürzen gefüllt ist. Der Teig wird zu flachen Broten geformt und dann im Ofen gebacken_ bis sie goldbraun und knusprig sind. Lobiani ist besonders in Georgien beliebt_ besonders während der Feiertage oder als Snack. Die Kombination aus der herzhaften Bohnenfüllung und dem weichen Teig macht Lobiani zu einer geschmackvollen und sättigenden Mahlzeit.
65	megruli khachapuri	მეგრული ხაჭაპური	49	gebacken	mit Käse gefülltes Brot	Pur	na	Traditionelles georgisches Brotgericht	https://geoweinhaus.de/megruli-khachapuri	Megruli Khachapuri ist eine traditionelle georgische Käsespezialität aus der Region Mingrelien_ die aus einem weichen Hefeteig besteht_ der mit einer reichhaltigen Füllung aus geschmolzenem Käse gefüllt ist. Im Vergleich zu anderen Khachapuri-Varianten hat Megruli Khachapuri eine doppelte Portion Käse – sowohl in der Füllung als auch oben auf dem Brot_ was ihm einen besonders cremigen und intensiven Geschmack verleiht. Der Teig wird zu einem runden Fladen geformt und im Ofen gebacken_ bis er goldbraun und knusprig ist. Megruli Khachapuri wird oft als herzhaftes Hauptgericht serviert und ist bekannt für seine köstliche Kombination aus deftigem Käse und weichem_ fluffigem Teig.
66	Kubdari	კუბდარი	49	gebacken	mit Fleisctücken und Kräutern gefülltes Brot	Pur	na	Traditionell mit felisch gefülltes Brot	https://www.eatclub.de/rezept/kubdari/	Kubdari ist ein traditionelles georgisches Gericht_ das aus einem herzhaften Teig besteht_ der mit einer Füllung aus gewürztem Fleisch_ meist Rind oder Schwein_ und Zwiebeln gefüllt ist. Der Teig wird zu einem runden Fladen geformt und die Füllung wird darin eingewickelt_ bevor es im Ofen gebacken wird_ bis es goldbraun und knusprig ist. Kubdari ist besonders in der Region Svaneti in Georgien beliebt_ und wird oft als Hauptgericht oder Snack serviert. Es zeichnet sich durch die saftige Fleischfüllung und den zarten Teig aus_ was es zu einer beliebten und nahrhaften Mahlzeit macht.
67	Kenkey	kɔmi	50	dampfgegart	aus Maismehl	Mit Hauptgericht	na	Kloß aus Ghana	https://recipesaroundtheworld.com/recipes-from-around-the-world-6bc45039a55d	Kenkey ist ein traditionelles ghanaisches Gericht_ das aus fermentiertem Maismehl hergestellt wird. Der Teig wird zu kleinen Kugeln oder flachen Bällchen geformt_ in Bananenblätter gewickelt und dann gedämpft_ bis er weich und zäh wird. Kenkey wird in Ghana häufig als Beilage zu Fisch_ Fleisch oder Eintöpfen serviert und ist ein wichtiger Bestandteil der ghanaischen Küche. Es hat einen leicht säuerlichen Geschmack aufgrund des Fermentationsprozesses und wird oft mit einer scharfen Sauce oder einer Tomatensalsa genossen.
68	Coconut Tart	Coconut Tart	51	gebacken	mit Kokosfüllung	Pur	Süßes Gebäck	Nachtisch aus Grenada	https://spiceislandcooking.com/grenadian-coconut-tart/	Coconut Tart aus Grenada ist ein köstliches Gebäck_ das mit einer süßen Füllung aus Kokosnuss_ Zucker und Gewürzen wie Zimt und Muskatnuss gefüllt ist. Der Teig wird zu kleinen Törtchen geformt und die Kokosnussmischung wird darin gebacken_ bis die Tarts goldbraun und knusprig sind. Diese Tarts sind besonders in Grenada und anderen Karibikinseln beliebt_ und werden oft als Dessert oder Snack serviert. Sie sind für ihre süße_ aromatische Füllung und die zarte_ buttrige Kruste bekannt.
69	Schafskäse-Teigtaschen	τυροπιτακια κουρου	52	gebacken	mit Fetafüllung	Pur	na	Teigtasche aus Griechenland	https://www.kuechenmomente.de/tiropitakia-kourou-griechische-schafskaese-teigtaschen/	Griechische Schafskäse-Teigtaschen_ auch bekannt als "Börek" oder "Tiropita"_ sind köstliche Teigtaschen_ die mit einer Füllung aus cremigem Schafskäse und Kräutern wie Dill oder Oregano gefüllt sind. Der Teig besteht oft aus dünnen Filoteigblättern_ die zu Taschen oder Rollen geformt und dann im Ofen gebacken werden_ bis sie goldbraun und knusprig sind. Diese Teigtaschen sind in der griechischen Küche sehr beliebt und werden oft als Snack_ Vorspeise oder leichtes Mittagessen serviert. Sie zeichnen sich durch die Kombination aus der salzigen Füllung und dem knusprigen_ zarten Teig aus.
70	Tamales colorados	tamales colorados guatemaltecos	53	dampfgegart	in Bananenblatt gewickelt	Pur	na	Tamales aaus Guatemala	https://growingupbilingual.com/the-best-recipe-for-guatemalan-tamales-colorados/	Tamales Colorados aus Guatemala sind eine köstliche Variante des traditionellen Tamales_ die sich durch ihre charakteristische rote Farbe auszeichnen. Der Teig wird aus Maismehl zubereitet und mit einer roten Chili-Sauce gemischt_ die ihm nicht nur die Farbe verleiht_ sondern auch einen kräftigen_ würzigen Geschmack. Die Füllung besteht oft aus Hühnchen_ Schweinefleisch oder Gemüse_ die mit einer Mischung aus Gewürzen und manchmal auch Oliven und Rosinen verfeinert werden. Die Tamales werden in Maishüllen gewickelt und dann gedämpft_ bis sie zart und aromatisch sind. Tamales Colorados sind in Guatemala ein beliebtes Gericht zu besonderen Anlässen oder Feiertagen und sind für ihre würzige und gleichzeitig leicht süße Geschmackskomposition bekannt.
71	Samosa Guinea	Samosas	54	fritiert	Gunieanische version der Somosa	Pur_ mit Dipp	na	Samosa aus Guinea	https://shabait.com/2023/04/15/sambuusa-a-popular-snack-during-ramadan/	Samosa aus Guinea sind knusprige Teigtaschen_ die mit einer würzigen Füllung aus Hackfleisch_ Gemüse und einer Vielzahl von Gewürzen gefüllt sind. Der Teig wird zu Dreiecken geformt und dann frittiert_ bis sie goldbraun und knusprig sind. Diese Samosas sind ein beliebter Snack oder Appetizer in Guinea und werden oft mit einer scharfen Sauce oder einem Joghurt-Dip serviert_ um den Geschmack zu verstärken. Sie sind bekannt für ihre knusprige Textur und die herzhaften Aromen der Füllung.
72	Guyanese Beef Patties	Guyanese Beef Patties	56	gebacken	mit fleisch und gemüse gefüllte Gebäckstücke	Pur_ mit Dipp	na	Leckerer Party-Snack aus Guyana	https://metemgee.com/guyanese-beef-patties/	Guyanese Beef Patties sind köstliche_ würzige Teigtaschen_ die mit einer Füllung aus gewürztem Hackfleisch_ Zwiebeln und Kräutern gefüllt sind. Der Teig wird zu kleinen runden oder rechteckigen Taschen geformt und dann gebacken_ bis sie goldbraun und knusprig sind. Diese Patties sind in Guyana sehr beliebt_ und werden oft als Snack oder leichtes Mittagessen serviert. Sie zeichnen sich durch ihre zarte_ knusprige Kruste und die würzige_ saftige Fleischfüllung aus_ die oft mit einer scharfen Sauce oder einem Dip kombiniert wird.
73	Guyanese Goja	Guyanese Goja	56	fritiert	mit gewürzter Kokosnuss und Inger gefüllte süße Tasche	Pur	meist an Festtagen gegessen	Süßspeise aus Guyana	https://metemgee.com/guyanese-goja-with-gluten-free-option/	Guyanese Goja ist ein beliebtes Gebäck aus Guyana_ das aus einem leicht süßen Teig besteht und mit einer Mischung aus Zucker und Gewürzen wie Zimt und Muskatnuss gefüllt ist. Der Teig wird zu kleinen Bällchen geformt und dann frittiert_ bis sie goldbraun und knusprig sind. Goja wird oft als Snack oder Dessert genossen und ist besonders in der Weihnachtszeit beliebt. Die süße Füllung und die knusprige Außenschicht machen es zu einem unwiderstehlichen Leckerbissen_ der in Guyana und in der karibischen Region geschätzt wird.
74	Haitian patty	pate ayisyen	57	gebacken	variable gefüllter Blätterteig	ans Apetiser	na	Bläterteiggebäck aus Haiti	https://www.savorythoughts.com/haitian-patties-pate-recipe/	Haitian Patty ist ein köstlicher Snack aus Haiti_ der aus einem goldbraunen_ knusprigen Teig besteht und mit einer würzigen Füllung aus gewürztem Hackfleisch_ Hühnchen oder manchmal auch Gemüse gefüllt ist. Der Teig wird zu kleinen Taschen oder Halbkreisen geformt und dann gebacken_ bis sie außen knusprig und innen saftig sind. Haitian Patty wird oft als Snack oder leichtes Mittagessen genossen und ist bekannt für seine Kombination aus würzigem Geschmack und der zarten Textur des Teigs. Es ist ein beliebtes Streetfood und ein wesentlicher Bestandteil der haitianischen Küche.
75	Hundekuchen	pastelitos de perro	58	fritiert	mit Kartoffeln und Fleisch gefüllter Maiskuchen	mit gehacktem Kohl_ geribenem Käse und Ranchsauce	na	Fritierte Maiskuchen Honduras	https://www.buenprovecho.hn/recipe/pastelitos-de-perro/	Pastelitos de Perro aus Honduras sind knusprige Teigtaschen_ die traditionell mit einer würzigen Füllung aus Hackfleisch_ Zwiebeln und Gewürzen wie Paprika und Kreuzkümmel gefüllt sind. Der Name „de Perro“ (vom Hund) wird humorvoll verwendet_ um die Form der Pastelitos zu beschreiben_ die oft an einen Hundeknochen erinnert. Die Teigtaschen werden dann frittiert_ bis sie goldbraun und knusprig sind. In Honduras sind diese Pastelitos ein beliebter Snack oder eine schnelle Mahlzeit_ die für ihren intensiven Geschmack und ihre knusprige Textur bekannt sind.
76	Pupusas aus Honduras	Pupusas Honduras	58	gebraten	mit Käse gefüllt und Pfannengebraten	Pur oder mit Beilagen	Ursprünglich aus El Salvador	Honduras version der Pupusa	https://greathonduranfood.com/honduran-food/honduran-pupusas	Pupusas aus Honduras sind dicke_ herzhafte Teigtaschen_ die mit einer Vielzahl von Füllungen gefüllt sind_ darunter Käse_ Fleisch_ Bohnen oder sogar Gemüse. Der Teig besteht aus Maismehl und wird zu flachen_ runden Formen geformt_ die dann auf einer heißen Grillplatte oder in einer Pfanne gegart werden_ bis sie goldbraun und leicht knusprig sind. Pupusas sind ein traditionelles Gericht in Honduras und werden oft mit einer frischen_ würzigen Krautsalatmischung namens „curtido“ und einer Tomatensauce serviert. Sie sind bekannt für ihre leckere Kombination aus zartem Teig und schmackhafter Füllung.
77	Kozhukattai / Kolukattai	கொழுகட்டை	59	dampfgegart	mit Cocosnus und Rohrzucker gefüllter Reismehldumpling	als Abendsnack oder am Ghanesh Chaturthi Fest	Lieblingsüßsigkeit von Ganescha	Süße Teigtasche aus Indien	https://www.sharmispassions.com/kozhukattai-recipe/	Kozhukkatta ist ein traditionelles indisches Gericht_ das aus dem südindischen Bundesstaat Kerala stammt. Es besteht aus kleinen Reisbällchen_ die mit einer Mischung aus Kokosnuss und Jaggery (Palmzucker) gefüllt sind. Der Teig wird aus Reismehl und Wasser hergestellt_ und die Bällchen werden dann in Kokosblätter gewickelt und gedämpft_ bis sie weich und zart sind. Kozhukkatta ist besonders während Festen oder besonderen Anlässen beliebt und wird wegen seiner süßen Füllung und dem aromatischen Kokosgeschmack geschätzt.
78	Gujiya	गुझिया	59	gebacken / fritiert	mit Nüssen und Rosinen gefüllt	Pur 	zu Festtagen wie zb. das Holi Fest	Süßgebäck aus Indien	https://www.vegrecipesofindia.com/gujiya-recipe-fried-baked-gujiya/	Gujiya ist ein beliebtes indisches Gebäck_ das besonders während des Festivals Holi und Diwali genossen wird. Es besteht aus einem dünnen Teig_ der mit einer süßen Füllung aus Khoya (reduzierte Milch)_ Zucker_ Nüssen und Gewürzen wie Kardamom gefüllt ist. Der Teig wird zu kleinen Halbmonden geformt und dann entweder frittiert oder gebacken_ bis sie goldbraun und knusprig sind. Gujiya ist für seine zarte_ knusprige Textur und die süße_ aromatische Füllung bekannt und wird oft als Snack oder Dessert serviert.
